population,Tube_ID,treatment,Leaf_Mass_g,Avg_Leaf_Mass_g,Leaf_Area_cm2,SLA
9,E6,drought,0.005,0.00106,0.15,141.51
9,E7,drought,0.005,0.00106,0.05,47.17
9,F1,drought,0.005,0.00106,0.1,94.34
9,F2,drought,0.006,0.00122,0.1,81.97
9,F3,drought,NA,NA,NA,NA
9,F4,drought,NA,NA,NA,NA
9,F5,drought,NA,NA,NA,NA
9,F6,drought,0.006,0.00122,0.11,90.16
9,F7,drought,0.006,0.00122,0.1,81.97
9,G1,drought,0.006,0.00122,0.14,114.75
9,G2,drought,0.006,0.00122,0.05,40.98
10,A1,drought,0.004,0.00078,0.11,141.03
10,A2,drought,0.004,0.00078,0.05,64.10
10,A3,drought,0.004,0.00078,0.14,179.49
10,A4,drought,NA,NA,NA,NA
10,A5,drought,0.004,0.00078,0.04,51.28
10,A6,drought,0.004,0.00078,0.04,51.28
10,A7,drought,0.005,0.00092,0.04,43.48
10,B1,drought,NA,NA,NA,NA
10,B2,drought,0.005,0.00092,0.19,206.52
10,B3,drought,NA,NA,NA,NA
10,B4,drought,0.005,0.00092,0.07,76.09
10,B5,drought,0.005,0.00092,0.13,141.30
10,B6,drought,NA,NA,NA,NA
10,B7,drought,0.005,0.00092,0.07,76.09
10,C1,drought,NA,NA,NA,NA
10,C2,drought,NA,NA,NA,NA
10,C3,drought,NA,NA,NA,NA
10,C4,drought,0.006,0.00116,0.13,112.07
10,C5,drought,NA,NA,NA,NA
10,C6,drought,NA,NA,NA,NA
10,C7,drought,NA,NA,NA,NA
10,D1,drought,0.006,0.00116,0.08,68.97
10,D2,drought,NA,NA,NA,NA
10,D3,drought,NA,NA,NA,NA
10,D4,drought,0.006,0.00116,0.1,86.21
10,D5,drought,NA,NA,NA,NA
10,D6,drought,NA,NA,NA,NA
10,D7,drought,0.006,0.00116,0.16,137.93
10,E1,drought,0.006,0.00116,0.11,94.83
10,E2,drought,NA,NA,NA,NA
10,E3,drought,NA,NA,NA,NA
10,E4,drought,0.004,0.0008,0.07,87.50
10,E5,drought,NA,NA,NA,NA
10,E6,drought,0.004,0.0008,0.08,100.00
10,E7,drought,0.004,0.0008,0.06,75.00
10,F1,drought,0.004,0.0008,0.08,100.00
10,F2,drought,0.004,0.0008,0.09,112.50
10,F3,drought,0.003,0.00085,0.07,82.35
10,F4,drought,NA,NA,NA,NA
10,F5,drought,0.003,0.00085,0.23,270.59
10,F6,drought,0.003,0.00085,0.06,70.59
10,F7,drought,NA,NA,NA,NA
10,G1,drought,NA,NA,NA,NA
10,G2,drought,0.003,0.00085,0.06,70.59
11,A1,drought,0.005,0.001,0.18,180.00
11,A2,drought,0.005,0.001,0.07,70.00
11,A3,drought,0.005,0.001,0.16,160.00
11,A4,drought,0.005,0.001,0.06,60.00
11,A5,drought,0.005,0.001,0.12,120.00
11,A6,drought,0.005,0.001,0.13,130.00
11,A7,drought,0.005,0.001,0.06,60.00
11,B1,drought,NA,NA,NA,NA
11,B2,drought,0.005,0.001,0.1,100.00
11,B3,drought,0.005,0.001,0.14,140.00
11,B4,drought,NA,NA,NA,NA
11,B5,drought,0.005,0.001,0.11,110.00
11,B6,drought,NA,NA,NA,NA
11,B7,drought,0.004,0.0008,0.08,100.00
11,C1,drought,0.004,0.0008,0.08,100.00
11,C2,drought,0.004,0.0008,0.16,200.00
11,C3,drought,NA,NA,NA,NA
11,C4,drought,0.004,0.0008,0.03,NA
11,C5,drought,0.004,0.0008,0.09,112.50
11,C6,drought,0.007,0.00123,0.21,170.27
11,C7,drought,0.007,0.00123,0.04,32.43
11,D1,drought,NA,NA,NA,NA
11,D2,drought,NA,NA,NA,NA
11,D3,drought,0.007,0.00123,0.1,81.08
11,D4,drought,0.007,0.00123,0.1,81.08
11,D5,drought,NA,NA,NA,NA
11,D6,drought,0.007,0.00123,0.16,129.73
11,D7,drought,NA,NA,NA,NA
11,E1,drought,NA,NA,NA,NA
11,E2,drought,0.007,0.00123,0.16,129.73
11,E3,drought,0.005,0.000883,0.08,90.57
11,E4,drought,NA,NA,NA,NA
11,E5,drought,NA,NA,NA,NA
11,E6,drought,NA,NA,NA,NA
11,E7,drought,0.005,0.000883,0.1,113.21
11,F1,drought,NA,NA,NA,NA
11,F2,drought,NA,NA,NA,NA
11,F3,drought,0.005,0.000883,0.06,67.92
11,F4,drought,0.005,0.000883,0.04,45.28
11,F5,drought,NA,NA,NA,#VALUE!
11,F6,drought,0.005,0.000883,0.11,124.53
11,F7,drought,0.005,0.000883,0.11,124.53
11,G1,drought,NA,NA,NA,NA
11,G2,drought,NA,NA,NA,NA
12,A1,drought,0.004,0.00074,0.07,94.59
12,A2,drought,0.004,0.00074,0.07,94.59
12,A3,drought,0.004,0.00074,0.05,67.57
12,A4,drought,0.004,0.00074,0.06,81.08
12,A5,drought,0.004,0.00074,0.05,67.57
12,A6,drought,0.003,0.00064,0.06,93.75
12,A7,drought,0.003,0.00064,0.04,62.50
12,B1,drought,0.003,0.00064,0.09,140.63
12,B2,drought,0.003,0.00064,0.08,125.00
12,B3,drought,0.003,0.00064,0.03,46.88
12,B4,drought,NA,NA,NA,NA
12,B5,drought,0.004,0.00084,0.08,95.24
12,B6,drought,NA,NA,NA,#VALUE!
12,B7,drought,0.004,0.00084,0.06,71.43
12,C1,drought,0.004,0.00084,0.09,107.14
12,C2,drought,0.004,0.00084,0.08,95.24
12,C3,drought,0.004,0.00084,0.05,59.52
12,C4,drought,NA,NA,NA,NA
12,C5,drought,NA,NA,NA,NA
12,C6,drought,0.004,0.0008,0.07,87.50
12,C7,drought,0.004,0.0008,0.09,112.50
12,D1,drought,0.004,0.0008,0.07,87.50
12,D2,drought,0.004,0.0008,0.09,112.50
12,D3,drought,0.004,0.0008,0.06,75.00
12,D4,drought,0.004,0.00086,0.07,81.40
12,D5,drought,0.004,0.00086,0.12,139.53
12,D6,drought,0.004,0.00086,0.09,104.65
12,D7,drought,0.004,0.00086,0.07,81.40
12,E1,drought,0.004,0.00086,0.09,104.65
12,E2,drought,0.004,0.00078,0.03,38.46
12,E3,drought,0.004,0.00078,0.08,102.56
12,E4,drought,0.004,0.00078,0.12,153.85
12,E5,drought,0.004,0.00078,0.11,141.03
12,E6,drought,0.004,0.00078,0.08,102.56
12,E7,drought,0.004,0.00084,0.06,71.43
12,F1,drought,0.004,0.00105,0.08,76.19
12,F2,drought,0.004,0.00105,0.12,114.29
12,F3,drought,0.004,0.00105,0.11,104.76
12,F4,drought,0.004,0.00084,0.02,23.81
12,F5,drought,0.004,0.00072,0.06,83.33
12,F6,drought,0.004,0.00072,0.07,97.22
12,F7,drought,0.004,0.00072,0.05,69.44
12,G1,drought,0.004,0.00072,0.08,111.11
12,G2,drought,0.004,0.00072,0.07,97.22
1,A1,nondrought,0.006,0.00126,0.16,126.98
1,A2,nondrought,0.006,0.00126,0.13,103.17
1,A3,nondrought,0.006,0.00126,0.12,95.24
1,A4,nondrought,0.006,0.00126,0.02,15.87
1,A5,nondrought,0.006,0.00126,0.07,55.56
1,A6,nondrought,0.004,0.00078,0.12,153.85
1,A7,nondrought,0.004,0.00078,0.09,115.38
1,B1,nondrought,0.004,0.00078,0.09,115.38
1,B2,nondrought,0.004,0.00078,0.03,38.46
1,B3,nondrought,0.004,0.00078,0.07,89.74
1,B4,nondrought,0.004,0.00084,0.05,59.52
1,B5,nondrought,0.004,0.00084,0.08,95.24
1,B6,nondrought,0.004,0.00084,0.09,107.14
1,B7,nondrought,0.004,0.00084,0.06,71.43
1,C1,nondrought,0.004,0.00084,0.1,119.05
1,C2,nondrought,0.004,0.00072,0.06,83.33
1,C3,nondrought,0.004,0.00072,0.08,111.11
1,C4,nondrought,0.004,0.00072,0.12,166.67
1,C5,nondrought,0.004,0.00072,0.07,97.22
1,C6,nondrought,0.004,0.00072,0.04,55.56
1,C7,nondrought,0.005,0.00102,0.14,137.25
1,D1,nondrought,0.005,0.00102,0.1,98.04
1,D2,nondrought,0.005,0.00102,0.07,68.63
1,D3,nondrought,0.005,0.00102,0.1,98.04
1,D4,nondrought,0.005,0.00102,0.06,58.82
1,D5,nondrought,0.004,0.00088,0.03,34.09
1,D6,nondrought,0.004,0.00088,0.04,45.45
1,D7,nondrought,0.004,0.00088,0.15,170.45
1,E1,nondrought,0.004,0.00088,0.09,102.27
1,E2,nondrought,0.004,0.00088,0.1,113.64
1,E3,nondrought,0.003,0.00062,0.04,64.52
